"","Date","Short","Long","Spread","Short_koef","Long_koef","Spread_koef"
"586",2011-02-18,102.56,102.88,-0.319999999999993,-0.00883372244449987,-0.00842089862149908,-0.000412823823000785
"587",2011-02-21,104.97,105.39,-0.420000000000002,0.0232266018753471,0.0241044944565365,-0.000877892581189421
"588",2011-02-22,106.1,105.95,0.149999999999991,0.0107074505722302,0.00529952976846282,0.0054079208037674
"589",2011-02-24,113.6,113.32,0.280000000000001,0.0683014606671142,0.0672483902480074,0.00105307041910674
"590",2011-02-25,111.34,111.19,0.150000000000006,-0.0200949235316896,-0.018975225247158,-0.00111969828453162
"591",2011-02-28,112.3,112.08,0.219999999999999,0.00858527898903638,0.00797245231359422,0.000612826675442157
"592",2011-03-01,113.83,113.7,0.129999999999995,0.0135322455927271,0.0143504987277385,-0.000818253135011382
"593",2011-03-02,115.4,114.9,0.5,0.0136982467368743,0.0104987840982194,0.00319946263865489
"594",2011-03-03,114.27,114.25,0.019999999999996,-0.00984028491537714,-0.00567315508039545,-0.00416712983498169
"595",2011-03-04,115.61,115.6,0.0100000000000051,0.0116583885286081,0.0117469264639629,-8.85379353547933e-05
"596",2011-03-05,116.48,116.15,0.329999999999998,0.00749712676114545,0.00474650297814083,0.00275062378300461
"597",2011-03-09,115.48,115.51,-0.0300000000000011,-0.00862222965364179,-0.00552535291582945,-0.00309687673781234
"598",2011-03-10,113.67,113.65,0.019999999999996,-0.0157978410961146,-0.0162335560020361,0.000435714905921536
"599",2011-03-11,114.03,113.98,0.0499999999999972,0.0031620579706475,0.00289944410830145,0.000262613862346051
"600",2011-03-14,113.22,113.17,0.0499999999999972,-0.00712874306075317,-0.00713188142900378,3.13836825061031e-06
"601",2011-03-15,109.86,110.01,-0.150000000000006,-0.0301260006940396,-0.0283198422265061,-0.00180615846753351
"602",2011-03-16,110.42,110.66,-0.239999999999995,0.00508444894142457,0.00589116671861944,-0.000806717777194876
"603",2011-03-17,113.74,113.53,0.209999999999994,0.0296238650227547,0.0256046817064783,0.00401918331627638
"604",2011-03-18,114.52,114.4,0.11999999999999,0.00683433835126124,0.00763395976925541,-0.000799621417994167
"605",2011-03-21,115.14,115.1,0.0400000000000063,0.00539929901774894,0.00610023678213967,-0.00070093776439073
"606",2011-03-22,115.44,115.7,-0.260000000000005,0.00260213521795194,0.005199318471794,-0.00259718325384206
"607",2011-03-23,115.68,115.71,-0.0299999999999869,0.00207684394483909,8.64266886155818e-05,0.00199041725622351
"608",2011-03-24,115.73,115.68,0.0499999999999972,0.000432133449531413,-0.000259302477791934,0.000691435927323347
"609",2011-03-25,115.72,115.63,0.0900000000000034,-8.64117520515961e-05,-0.000432320269584174,0.000345908517532578
"610",2011-03-28,115.75,115.55,0.200000000000003,0.000259212858408908,-0.000692101420480817,0.000951314278889726
"611",2011-03-29,114.84,114.65,0.189999999999998,-0.00789283771347993,-0.00781932741647573,-7.35102970041979e-05
"612",2011-03-30,114.81,114.5,0.310000000000002,-0.000261267147142696,-0.00130918630961929,0.0010479191624766
"613",2011-03-31,117.02,116.9,0.11999999999999,0.0190662722543697,0.0207440454837284,-0.00167777322935869
"614",2011-04-01,117.39,117.17,0.219999999999999,0.00315686453034036,0.00230700320204136,0.000849861328299006
"615",2011-04-04,119.71,119.38,0.329999999999998,0.019570426372848,0.0186858110604398,0.000884615312408243
"616",2011-04-05,121.98,121.7,0.280000000000001,0.0187849456050317,0.0192473172529777,-0.000462371647945936
"617",2011-04-06,122.52,122.11,0.409999999999997,0.00441718509626376,0.00336327785144874,0.00105390724481502
"618",2011-04-07,121.56,121.26,0.299999999999997,-0.00786631391598203,-0.00698527720134567,-0.000881036714636352
"619",2011-04-08,124.72,124.1,0.620000000000005,0.0256632567009287,0.0231506915669764,0.00251256513395237
"620",2011-04-11,125.82,125.26,0.559999999999988,0.00878108939236277,0.0093038848867053,-0.000522795494342532
"621",2011-04-12,120.8,120.32,0.480000000000004,-0.0407160286411692,-0.0402367168957367,-0.000479311745432476
"622",2011-04-13,122.39,121.83,0.560000000000002,0.0130763818935327,0.0124717701647867,0.00060461172874593
"623",2011-04-14,122.61,122.25,0.359999999999999,0.00179591885004804,0.003441497988665,-0.00164557913861696
"624",2011-04-15,122.6,122.27,0.329999999999998,-8.15627421841825e-05,0.000163585801117527,-0.00024514854330171
"625",2011-04-18,121.54,120.95,0.590000000000003,-0.00868359679490194,-0.0108544771000627,0.00217088030516077
"626",2011-04-19,120.2,119.7,0.5,-0.0110864046061021,-0.0103886244921085,-0.000697780113993574
"627",2011-04-20,122.65,122.36,0.290000000000006,0.0201777486033912,0.0219789067187746,-0.00180115811538339
"628",2011-04-21,123.63,123.11,0.519999999999996,0.00795846331433747,0.00611074537682121,0.00184771793751626
"629",2011-04-22,124.04,123.75,0.290000000000006,0.00331086021341243,0.0051851367892759,-0.00187427657586348
"630",2011-04-25,122.83,122.53,0.299999999999997,-0.00980280868124517,-0.00990750348744474,0.000104694806199568
"631",2011-04-26,124.1,123.7,0.399999999999991,0.0102864066595583,0.00950338143708773,0.000783025222470535
"632",2011-04-27,123.9,123.39,0.510000000000005,-0.00161290357546484,-0.00250920848800007,0.000896304912535228
"633",2011-04-28,125.8,125.37,0.429999999999993,0.0152185556312441,0.0159192942174915,-0.000700738586247418
"634",2011-04-29,125.43,125.16,0.27000000000001,-0.00294551022975664,-0.00167644632725228,-0.00126906390250436
"635",2011-05-03,123.36,123.12,0.239999999999995,-0.0166409242215648,-0.0164334292700579,-0.000207494951506959
"636",2011-05-04,121.02,120.84,0.179999999999993,-0.0191510886208439,-0.0186921330121521,-0.000458955608691802
"637",2011-05-05,116.46,116.25,0.209999999999994,-0.0384079547852014,-0.0387243120510057,0.000316357265804257
"638",2011-05-06,113.97,113.8,0.170000000000002,-0.0216126105413297,-0.0213005227752356,-0.000312087766094038
"639",2011-05-10,116.52,115.97,0.549999999999997,0.0221276762235902,0.0188890152763816,0.00323866094720859
"640",2011-05-11,114.72,113.98,0.739999999999995,-0.0155685552399243,-0.0173085425617581,0.00173998732183378
"641",2011-05-12,111.8,111.21,0.590000000000003,-0.0257828161303113,-0.0246026885761035,-0.00118012755420782
"642",2011-05-13,113.92,113.33,0.590000000000003,0.018784886942667,0.0188836109141066,-9.87239714396182e-05
"643",2011-05-16,112.87,112.35,0.52000000000001,-0.00925973369613065,-0.00868491811351912,-0.000574815582611521
"644",2011-05-17,109.7,109.59,0.109999999999999,-0.02848734668635,-0.0248728691560371,-0.00361447753031285
"645",2011-05-18,111.81,111.51,0.299999999999997,0.0190516348780916,0.0173681435019697,0.00168349137612189
"646",2011-05-19,112.11,112.11,0,0.00267953000622523,0.0053662591882313,-0.00268672918200608
"647",2011-05-20,109.5,109.24,0.260000000000005,-0.0235559829089462,-0.0259332355599975,0.00237725265105126
"648",2011-05-23,109.6,109.17,0.429999999999993,0.000912825257359806,-0.000640996313325815,0.00155382157068562
"649",2011-05-24,112.1,111.63,0.469999999999999,0.0225539555641987,0.0222835307344624,0.000270424829736271
"650",2011-05-25,113.25,112.44,0.810000000000002,0.0102064342850294,0.00722991501169012,0.00297651927333931
