Date;Sec;Open;Min;Max;Close;Deal;Volume;AV ETC
23.11.2016;GBPRUB_TOM;79,37;79,37;80,49;80,2;39;24732852,5;79,7834
24.11.2016;GBPRUB_TOM;80,31;80,01;80,57;80,3;33;48727040;80,2752
25.11.2016;GBPRUB_TOM;80,4;79,93;80,94;80,92;35;52921815;80,3062
28.11.2016;GBPRUB_TOM;81,01;80,17;81,32;80,34;30;64381710;80,6788
29.11.2016;GBPRUB_TOM;80,51;80,51;81,85;81,34;43;121227730;81,1974
30.11.2016;GBPRUB_TOM;81,19;79,68;81,44;80,22;51;60434020;80,2577
01.12.2016;GBPRUB_TOM;79,94;79,71;80,91;80,25;53;324915090;80,7443
02.12.2016;GBPRUB_TOM;80,77;77;81,3;81,15;58;155914937,5;80,8268
05.12.2016;GBPRUB_TOM;81,26;80,81;81,26;80,84;31;90455892,5;80,9811
06.12.2016;GBPRUB_TOM;81,45;80,88;81,55;80,9;53;369974440;81,4384
07.12.2016;GBPRUB_TOM;80,88;79,7;80,99;79,8;60;114061622,5;80,3817
08.12.2016;GBPRUB_TOM;80,11;79,57;80,45;79,62;43;106928120;80,156
09.12.2016;GBPRUB_TOM;79,69;78,42;79,75;79,695;51;88511420;79,4537
12.12.2016;GBPRUB_TOM;78,4;76,73;78,4;77,35;110;176830617,5;77,3199
13.12.2016;GBPRUB_TOM;77,41;76,8;77,8;76,8;72;236147610;77,4001
14.12.2016;GBPRUB_TOM;77,02;76,84;78,12;78,12;40;39212877,5;77,1907
15.12.2016;GBPRUB_TOM;77,6;76,61;77,6;76,8;98;243966852,5;77,0341
16.12.2016;GBPRUB_TOM;76,79;76,48;78;77,75;79;91019847,5;77,0049
19.12.2016;GBPRUB_TOM;77,5;76,32;77,5;76,88;101;215003270;76,8418
20.12.2016;GBPRUB_TOM;76,74;75,69;76,74;76,04;103;108590885;76,1507
21.12.2016;GBPRUB_TOM;75,65;75,3;78;75,62;79;89156770;75,4926
22.12.2016;GBPRUB_TOM;75,39;74,83;75,4;74,83;99;217536495;75,1421
23.12.2016;GBPRUB_TOM;74,88;74,64;75,3;75;68;235820737,5;74,9589
26.12.2016;GBPRUB_TOM;75,5;74,57;76,5;74,75;89;200826625;74,8236
27.12.2016;GBPRUB_TOM;74,8;74,29;74,83;74,5;68;245639807,5;74,4814
28.12.2016;GBPRUB_TOM;74,63;73,44;74,64;73,635;97;177361812,5;74,1479
29.12.2016;GBPRUB_TOM;72,8;72,8;74,43;73,93;60;133111320;74,0742
30.12.2016;GBPRUB_TOM;74,35;74,35;75,82;75,4775;74;83028422,5;75,2751
03.01.2017;GBPRUB_TOM;75,78;73,3725;75,78;74,53;16;9826220;75,5863
04.01.2017;GBPRUB_TOM;75,82;74,3;75,82;74,6025;11;2563772,5;75,4051
05.01.2017;GBPRUB_TOM;75;73,96;75;74,5;12;3588540;74,7613
06.01.2017;GBPRUB_TOM;73,96;73,96;75;74;16;7275265;74,2374
09.01.2017;GBPRUB_TOM;73,15;72,45;75,2;72,93;117;174509917,5;72,8643
10.01.2017;GBPRUB_TOM;73,0925;72,6;73,18;73,18;45;56193695;72,9788
11.01.2017;GBPRUB_TOM;73,25;72,775;73,44;73,03;51;60890110;73,0974
12.01.2017;GBPRUB_TOM;73,06;72,2;73,06;72,22;84;89395440;72,7976
13.01.2017;GBPRUB_TOM;72,2;72,12;72,87;72,72;71;159187817,5;72,3581
16.01.2017;GBPRUB_TOM;71,7;71,5;72,23;72,12;103;179079815;71,7467
17.01.2017;GBPRUB_TOM;72,35;71,76;73,73;73,625;124;286311527,5;72,5207
18.01.2017;GBPRUB_TOM;73,22;72,75;73,22;72,93;44;287879952,5;72,881
19.01.2017;GBPRUB_TOM;72,9;72,66;74,13;73,68;56;176196860;73,4766
20.01.2017;GBPRUB_TOM;73,84;73,34;73,84;73,8;35;27852780;73,6846
23.01.2017;GBPRUB_TOM;74,09;73,78;74,35;74,35;44;65996695;74,0704
24.01.2017;GBPRUB_TOM;73,96;73,65;74,2;74,03;63;474818222,5;73,8902
25.01.2017;GBPRUB_TOM;73,96;73,93;75,23;75,22;85;75209285;74,3175
26.01.2017;GBPRUB_TOM;75,07;75,07;76,2;76,2;106;377015515;75,6907
27.01.2017;GBPRUB_TOM;75,59;74,8;75,71;75,1;84;530133137,5;75,2389
30.01.2017;GBPRUB_TOM;75,31;74,38;75,69;74,38;70;407233535;75,1492
31.01.2017;GBPRUB_TOM;75;74,63;75,75;75,54;87;316495865;75,195
01.02.2017;GBPRUB_TOM;75,5975;75,5975;76,27;76,05;73;116908172,5;75,9637
02.02.2017;GBPRUB_TOM;76,03;73,7;76,11;74,44;119;281870727,5;74,7866
03.02.2017;GBPRUB_TOM;74,1875;73,5;74,64;73,68;82;267698242,5;74,0726
06.02.2017;GBPRUB_TOM;73,6;73,2;73,6;73,54;57;105371115;73,3272
07.02.2017;GBPRUB_TOM;73,5;73,29;74,35;74,35;58;177620860;73,9163
08.02.2017;GBPRUB_TOM;74,37;73,94;74,6;74,2;42;167924342,5;74,2699
09.02.2017;GBPRUB_TOM;73,84;73,63;74,26;73,66;58;310660660;73,8964
10.02.2017;GBPRUB_TOM;73,66;72,8;73,66;72,8;83;355005392,5;73,3331
13.02.2017;GBPRUB_TOM;72,9;72,44;72,9;72,71;57;139924450;72,6503
14.02.2017;GBPRUB_TOM;72,53;71,21;72,53;71,27;124;136157460;71,8509
15.02.2017;GBPRUB_TOM;73,9875;70,58;73,9875;71,16;99;105125700;71,2717
16.02.2017;GBPRUB_TOM;71,16;71,11;72,04;71,92;69;164164107,5;71,6248
17.02.2017;GBPRUB_TOM;71,91;71,68;72,72;72,72;82;71816737,5;72,1776
20.02.2017;GBPRUB_TOM;72,19;72,15;72,75;72,41;44;58476140;72,3715
21.02.2017;GBPRUB_TOM;72;71,5;72,65;71,7;75;76721565;71,904
22.02.2017;GBPRUB_TOM;71,69;71,61;72,37;72,3375;55;75790285;72,044
24.02.2017;GBPRUB_TOM;72,2;69,02;72,75;72,75;56;21081895;71,4641
27.02.2017;GBPRUB_TOM;72,05;71,59;72,32;72,19;68;230348945;71,9616
28.02.2017;GBPRUB_TOM;72,11;71,96;72,68;72,36;51;74245380;72,3639
01.03.2017;GBPRUB_TOM;72,14;71,5;72,31;71,76;49;49998900;71,9409
02.03.2017;GBPRUB_TOM;71,65;71,65;72,21;72,18;55;194818130;71,8621
03.03.2017;GBPRUB_TOM;71,95;71,5;72,34;71,5;67;95447167,5;71,8729
06.03.2017;GBPRUB_TOM;71,76;71,11;71,78;71,18;61;125129925;71,3398
07.03.2017;GBPRUB_TOM;71,1;70,69;71,4;70,98;97;167199175;70,9072
09.03.2017;GBPRUB_TOM;71,5;71,41;72,44;72,37;113;420551602,5;71,926
10.03.2017;GBPRUB_TOM;72,01;68,6;72,14;71,8;87;178552285;71,7654
13.03.2017;GBPRUB_TOM;72,27;71,9;72,47;71,91;69;216026190;72,1771
14.03.2017;GBPRUB_TOM;71,6;71,4;72,42;71,9;105;243256415;71,9907
15.03.2017;GBPRUB_TOM;72,26;71,8;72,7;71,8;67;127519850;72,0451
16.03.2017;GBPRUB_TOM;71,8;71;71,84;71,4475;80;181965022,5;71,499
17.03.2017;GBPRUB_TOM;71,5525;70,88;71,74;70,925;67;273420840;71,4826
20.03.2017;GBPRUB_TOM;71,0475;70,75;71,46;70,9;63;188965802,5;71,1736
21.03.2017;GBPRUB_TOM;70,845;70,7475;72,0875;72,0575;85;256213977,5;70,9537
22.03.2017;GBPRUB_TOM;72,1375;71,775;72,47;72,08;52;88982180;72,1087
23.03.2017;GBPRUB_TOM;72,065;71,6525;72,1225;71,855;56;142929680;71,9686
24.03.2017;GBPRUB_TOM;71,695;71,1;71,7775;71,1;56;156047317,5;71,5485
27.03.2017;GBPRUB_TOM;71,63;71,3;71,9025;71,59;55;157220187,5;71,7573
28.03.2017;GBPRUB_TOM;71,675;71,07;71,845;71,07;49;67304302,5;71,6003
29.03.2017;GBPRUB_TOM;70,8525;70,2775;71;70,3;81;209224880;70,7319
30.03.2017;GBPRUB_TOM;70,3525;69,8025;70,3525;69,95;69;46951485;70,0768
31.03.2017;GBPRUB_TOM;69,6575;69,6225;70,695;70,4625;50;50813295;69,9908
03.04.2017;GBPRUB_TOM;70,195;70,04;70,585;70,04;53;134620162,5;70,3712
