"Дата","Цена","Откр.","Макс.","Мин.","Изм. %"
"Март '15","12,380","13,570","14,680","12,190","-11,32%"
"Февр. '15","13,960","14,760","14,760","12,060","-4,90%"
"Янв. '15","14,680","15,570","17,730","14,350","-5,72%"
"Дек. '14","15,570","10,470","16,940","10,270","49,57%"
"Нояб. '14","10,410","9,520","10,460","9,520","6,12%"
"Окт. '14","9,810","8,710","9,810","8,550","13,15%"
"Сент. '14","8,670","8,850","9,310","8,370","-2,03%"
"Авг. '14","8,850","8,890","9,120","8,150","-1,23%"
"Июль '14","8,960","7,900","9,140","7,650","12,70%"
"Июнь '14","7,950","8,330","8,570","7,710","-1,97%"
"Май '14","8,110","8,030","8,410","7,720","-1,58%"
"Апр. '14","8,240","7,340","8,370","7,340","11,50%"
"Март '14","7,390","7,460","8,480","7,110","13,00%"
"Февр. '14","6,540","6,990","6,990","6,320","-1,36%"
"Янв. '14","6,630","6,070","7,220","5,670","21,43%"
"Дек. '13","5,460","7,160","7,160","5,460","-14,69%"
"Нояб. '13","6,400","6,100","6,600","5,710","4,75%"
"Окт. '13","6,110","6,300","6,320","5,720","1,16%"
"Сент. '13","6,040","6,200","6,310","5,910","-2,58%"
"Авг. '13","6,200","6,200","6,500","5,680","0,65%"
"Июль '13","6,160","6,360","6,580","5,710","-1,91%"
"Июнь '13","6,280","6,160","6,530","5,960","1,13%"
"Май '13","6,210","5,940","6,230","5,640","4,37%"
"Апр. '13","5,950","5,740","5,950","5,630","2,59%"
"Март '13","5,800","5,710","6,770","5,560","5,26%"
"Февр. '13","5,510","5,820","5,960","5,470","-6,77%"
"Янв. '13","5,910","6,330","6,360","5,810","-3,59%"
